InnigsID,dn,country,p1,p1-s,p2,p2-s,p3,p3-s,p4,p4-s,p5,p5-s,p6,p6-s,p7,p7-s,p8,p8-s,p9,p9-s,p10,p10-s,p11,p11-s
1033,DN,England,IR Bell,88,MM Ali,8,JWA Taylor,56,JE Root,0,EJG Morgan,0,RS Bopara,0,JC Buttler,0,CR Woakes,0,SCJ Broad,0,JM Anderson,0,ST Finn,0
1049,D,England,IR Bell,10,MM Ali,17,JWA Taylor,82,JE Root,3,EJG Morgan,2,RS Bopara,4,JC Buttler,67,CR Woakes,4,SCJ Broad,3,JM Anderson,0,ST Finn,0
1109,DN,England,AD Hales,37,IR Bell,52,JWA Taylor,8,JE Root,0,EJG Morgan,0,JC Buttler,0,RS Bopara,0,CJ Jordan,0,JC Tredwell,0,SCJ Broad,0,JM Anderson,0
1139,DN,England,JJ Roy,0,AD Hales,20,JE Root,104,EJG Morgan,50,BA Stokes,10,JC Buttler,129,SW Billings,3,AU Rashid,69,CJ Jordan,2,LE Plunkett,13,ST Finn,0
1145,DN,England,JJ Roy,38,AD Hales,67,JE Root,106,EJG Morgan,113,BA Stokes,19,JC Buttler,0,SW Billings,0,AU Rashid,0,DJ Willey,0,MA Wood,0,ST Finn,0
1149,D,England,JJ Roy,12,AD Hales,1,JE Root,4,EJG Morgan,0,BA Stokes,17,JM Bairstow,83,SW Billings,41,DJ Willey,7,AU Rashid,12,MA Wood,0,ST Finn,0
1195,DN,England,JJ Roy,63,AD Hales,9,JWA Taylor,101,EJG Morgan,62,BA Stokes,14,JM Bairstow,17,MM Ali,1,LE Plunkett,1,CR Woakes,14,AU Rashid,1,ST Finn,0
1197,D,England,JJ Roy,36,AD Hales,0,JWA Taylor,41,EJG Morgan,92,BA Stokes,41,JM Bairstow,31,MM Ali,21,LE Plunkett,17,DJ Willey,12,AU Rashid,0,MA Wood,0
1247,DN,England,JJ Roy,54,AD Hales,109,JE Root,63,EJG Morgan,29,JC Buttler,11,JWA Taylor,9,MM Ali,2,CR Woakes,0,AU Rashid,0,DJ Willey,0,RJW Topley,0
1249,DN,England,JJ Roy,7,AD Hales,30,JE Root,11,EJG Morgan,35,JWA Taylor,67,JC Buttler,49,MM Ali,0,CR Woakes,0,AU Rashid,0,DJ Willey,0,RJW Topley,0
1251,DN,England,JJ Roy,102,AD Hales,22,JE Root,71,JC Buttler,116,EJG Morgan,14,JWA Taylor,13,MM Ali,4,CR Woakes,0,AU Rashid,0,DJ Willey,0,RJW Topley,0
1287,DN,England,JJ Roy,48,AD Hales,57,JE Root,52,JC Buttler,105,EJG Morgan,23,BA Stokes,57,MM Ali,19,CJ Jordan,14,AU Rashid,2,DJ Willey,5,RJW Topley,0
1291,D,England,JJ Roy,14,AD Hales,99,JE Root,38,EJG Morgan,29,BA Stokes,0,JC Buttler,48,MM Ali,21,CJ Jordan,0,AU Rashid,0,DJ Willey,0,RJW Topley,0
1325,DN,England,JJ Roy,112,AD Hales,133,JE Root,0,EJG Morgan,0,JM Bairstow,0,JC Buttler,0,MM Ali,0,CR Woakes,0,DJ Willey,0,LE Plunkett,0,AU Rashid,0
1331,DN,England,JJ Roy,162,MM Ali,2,JE Root,65,EJG Morgan,22,JM Bairstow,29,JC Buttler,17,AD Hales,0,CR Woakes,0,DJ Willey,0,AU Rashid,0,LE Plunkett,0
1333,D,England,JJ Roy,34,JM Vince,51,JE Root,93,EJG Morgan,20,JM Bairstow,22,JC Buttler,70,CR Woakes,17,LE Plunkett,9,CJ Jordan,0,DJ Willey,0,AU Rashid,0
1349,DN,England,JJ Roy,65,AD Hales,7,JE Root,61,EJG Morgan,33,BA Stokes,15,JC Buttler,0,MM Ali,0,CR Woakes,0,AU Rashid,0,LE Plunkett,0,MA Wood,0
1351,D,England,JJ Roy,0,AD Hales,14,JE Root,89,EJG Morgan,68,BA Stokes,42,JC Buttler,4,MM Ali,21,CR Woakes,7,AU Rashid,0,LE Plunkett,0,MA Wood,0
1355,DN,England,JJ Roy,15,AD Hales,171,JE Root,85,JC Buttler,90,EJG Morgan,57,BA Stokes,0,MM Ali,0,CR Woakes,0,AU Rashid,0,LE Plunkett,0,MA Wood,0
1359,DN,England,JJ Roy,14,AD Hales,8,JE Root,30,EJG Morgan,11,BA Stokes,69,JM Bairstow,61,MM Ali,45,DJ Willey,4,LE Plunkett,0,AU Rashid,0,CJ Jordan,0
1387,DN,England,JJ Roy,41,JM Vince,16,BM Duckett,60,JM Bairstow,0,BA Stokes,101,JC Buttler,63,MM Ali,6,CR Woakes,16,DJ Willey,0,AU Rashid,0,JT Ball,0
1393,DN,England,JM Vince,32,SW Billings,62,BM Duckett,63,JM Bairstow,15,BA Stokes,47,JC Buttler,25,MM Ali,1,CR Woakes,27,AU Rashid,0,LE Plunkett,0,JT Ball,0
1441,DN,England,JJ Roy,65,SW Billings,35,JM Bairstow,56,EJG Morgan,43,JC Buttler,11,BA Stokes,57,MM Ali,2,CR Woakes,34,LE Plunkett,1,DJ Willey,0,JT Ball,0
1477,D,England,JJ Roy,13,SW Billings,52,JE Root,4,EJG Morgan,107,JC Buttler,14,BA Stokes,55,MM Ali,31,CR Woakes,0,AU Rashid,0,LE Plunkett,0,ST Finn,0
1481,D,England,JJ Roy,52,SW Billings,0,JE Root,90,EJG Morgan,7,BA Stokes,1,JC Buttler,0,MM Ali,3,CR Woakes,68,AU Rashid,0,LE Plunkett,0,ST Finn,0
1483,D,England,JJ Roy,17,AD Hales,110,JE Root,101,JC Buttler,7,EJG Morgan,11,BA Stokes,34,MM Ali,0,CR Woakes,13,LE Plunkett,11,AU Rashid,9,ST Finn,2
1505,D,England,JJ Roy,0,AD Hales,55,JE Root,49,EJG Morgan,10,JM Bairstow,10,SW Billings,0,AU Rashid,0,DJ Willey,0,LE Plunkett,0,JT Ball,0,MA Wood,0
1507,D,England,JJ Roy,20,AD Hales,32,JE Root,73,EJG Morgan,76,JM Bairstow,72,SW Billings,7,AU Rashid,39,DJ Willey,1,LE Plunkett,0,JT Ball,0,MA Wood,0
1519,DN,England,JJ Roy,1,AD Hales,61,JE Root,37,EJG Morgan,107,BA Stokes,25,JC Buttler,7,MM Ali,77,CR Woakes,6,AU Rashid,0,LE Plunkett,0,MA Wood,0
1521,D,England,JJ Roy,8,AD Hales,24,JE Root,39,EJG Morgan,45,BA Stokes,101,JC Buttler,65,MM Ali,33,AU Rashid,0,LE Plunkett,0,MA Wood,0,JT Ball,0
1525,D,England,JJ Roy,1,AD Hales,95,JE Root,133,EJG Morgan,75,BA Stokes,0,JC Buttler,0,MM Ali,0,CR Woakes,0,LE Plunkett,0,MA Wood,0,JT Ball,0
1531,D,England,JJ Roy,13,AD Hales,56,JE Root,64,EJG Morgan,13,BA Stokes,48,JC Buttler,61,MM Ali,12,AU Rashid,12,LE Plunkett,15,MA Wood,0,JT Ball,0
1541,D,England,JJ Roy,4,AD Hales,0,JE Root,15,EJG Morgan,87,BA Stokes,102,JC Buttler,29,MM Ali,0,AU Rashid,0,LE Plunkett,0,MA Wood,0,JT Ball,0
1585,DN,England,JM Bairstow,100,AD Hales,19,JE Root,54,EJG Morgan,10,BA Stokes,23,JC Buttler,0,MM Ali,0,AU Rashid,0,CR Woakes,0,DJ Willey,0,LE Plunkett,0
1591,D,England,JM Bairstow,13,AD Hales,36,JE Root,84,EJG Morgan,0,BA Stokes,73,JC Buttler,2,MM Ali,102,CR Woakes,34,LE Plunkett,9,DJ Willey,1,AU Rashid,9
1593,DN,England,JJ Roy,84,JM Bairstow,39,JE Root,14,EJG Morgan,19,JC Buttler,43,SW Billings,2,MM Ali,48,CR Woakes,0,AU Rashid,0,LE Plunkett,0,JT Ball,0
1597,DN,England,JJ Roy,96,JM Bairstow,141,JE Root,46,EJG Morgan,0,JC Buttler,0,SW Billings,0,MM Ali,0,TK Curran,0,AU Rashid,0,LE Plunkett,0,JT Ball,0
1647,DN,England,JJ Roy,180,JM Bairstow,14,AD Hales,4,JE Root,91,EJG Morgan,1,JC Buttler,4,MM Ali,5,CR Woakes,0,AU Rashid,0,LE Plunkett,0,MA Wood,0
1657,DN,England,JJ Roy,2,JM Bairstow,60,AD Hales,57,JE Root,46,EJG Morgan,21,JC Buttler,42,MM Ali,1,CR Woakes,39,AU Rashid,0,LE Plunkett,0,MA Wood,0
1661,DN,England,JJ Roy,19,JM Bairstow,39,AD Hales,1,JE Root,27,EJG Morgan,41,JC Buttler,100,MM Ali,6,CR Woakes,53,AU Rashid,0,LE Plunkett,0,MA Wood,0
1673,D,England,JJ Roy,49,JM Bairstow,44,AD Hales,35,JE Root,62,EJG Morgan,3,JC Buttler,21,MM Ali,6,AU Rashid,12,DJ Willey,2,TK Curran,11,JT Ball,0
1699,DN,England,JJ Roy,8,JM Bairstow,37,JE Root,9,EJG Morgan,62,BA Stokes,63,JC Buttler,36,MM Ali,0,CR Woakes,0,DJ Willey,0,TK Curran,0,AU Rashid,0
1701,DN,England,JJ Roy,15,JM Bairstow,19,JE Root,20,EJG Morgan,48,BA Stokes,39,JC Buttler,29,MM Ali,23,CR Woakes,16,AU Rashid,11,TK Curran,2,MA Wood,1
1707,D,England,JM Bairstow,104,AD Hales,61,JE Root,23,EJG Morgan,8,BA Stokes,26,JC Buttler,0,MM Ali,0,CR Woakes,0,AU Rashid,0,TK Curran,0,MA Wood,0
1721,DN,England,JJ Roy,0,JM Bairstow,28,AD Hales,5,JE Root,50,EJG Morgan,69,JC Buttler,9,MM Ali,17,DJ Willey,35,LE Plunkett,3,AU Rashid,0,MA Wood,0
1723,D,England,JJ Roy,120,JM Bairstow,42,AD Hales,26,JE Root,22,JC Buttler,91,SW Billings,11,MM Ali,8,DJ Willey,11,LE Plunkett,1,AU Rashid,0,MA Wood,0
1725,DN,England,JJ Roy,82,JM Bairstow,139,AD Hales,147,JC Buttler,11,EJG Morgan,67,MM Ali,11,JE Root,4,DJ Willey,1,LE Plunkett,0,AU Rashid,0,MA Wood,0
1727,DN,England,JJ Roy,101,JM Bairstow,79,AD Hales,34,JE Root,27,EJG Morgan,15,JC Buttler,54,MM Ali,0,DJ Willey,0,C Overton,0,AU Rashid,0,MA Wood,0
1729,D,England,JJ Roy,1,JM Bairstow,12,AD Hales,20,JE Root,1,EJG Morgan,0,JC Buttler,110,MM Ali,16,SM Curran,15,LE Plunkett,0,AU Rashid,20,JT Ball,1
1735,D,England,JJ Roy,40,JM Bairstow,38,JE Root,113,EJG Morgan,53,BA Stokes,5,JC Buttler,4,MM Ali,13,DJ Willey,50,AU Rashid,0,LE Plunkett,0,MA Wood,0
1739,D,England,JM Vince,27,JM Bairstow,30,JE Root,100,EJG Morgan,88,BA Stokes,0,JC Buttler,0,MM Ali,0,DJ Willey,0,LE Plunkett,0,AU Rashid,0,MA Wood,0
1795,D,England,JJ Roy,0,JM Bairstow,26,JE Root,71,EJG Morgan,92,BA Stokes,15,JC Buttler,28,MM Ali,0,CR Woakes,5,LA Dawson,4,AU Rashid,19,OP Stone,9
1797,DN,England,JJ Roy,41,JM Bairstow,4,JE Root,8,EJG Morgan,58,BA Stokes,35,JC Buttler,0,MM Ali,0,CR Woakes,0,TK Curran,0,AU Rashid,0,OP Stone,0
1799,D,England,JJ Roy,45,AD Hales,12,JE Root,32,EJG Morgan,31,BA Stokes,0,JC Buttler,0,MM Ali,0,CR Woakes,0,TK Curran,0,AU Rashid,0,OP Stone,0
1871,DN,England,JJ Roy,123,JM Bairstow,34,JE Root,102,EJG Morgan,65,BA Stokes,20,JC Buttler,4,MM Ali,0,CR Woakes,0,LE Plunkett,0,AU Rashid,0,MA Wood,0
1875,D,England,JM Bairstow,56,AD Hales,82,JE Root,5,EJG Morgan,103,JC Buttler,150,BA Stokes,11,MM Ali,0,CR Woakes,0,AU Rashid,0,LE Plunkett,0,MA Wood,0
1917,D,England,JM Vince,18,DJ Malan,24,JE Root,7,EJG Morgan,0,JL Denly,8,BT Foakes,61,DJ Willey,20,TK Curran,47,AU Rashid,0,LE Plunkett,0,JC Archer,0
1925,D,England,JJ Roy,87,JM Bairstow,51,JE Root,40,EJG Morgan,71,JC Buttler,110,BA Stokes,0,MM Ali,0,DJ Willey,0,AU Rashid,0,CR Woakes,0,LE Plunkett,0
1929,DN,England,JJ Roy,76,JM Bairstow,128,JE Root,43,BA Stokes,37,MM Ali,46,EJG Morgan,17,JL Denly,0,TK Curran,0,CR Woakes,0,DJ Willey,0,LE Plunkett,0
1935,DN,England,JJ Roy,114,JM Vince,43,JE Root,36,BA Stokes,71,JC Buttler,0,MM Ali,0,JL Denly,17,TK Curran,31,AU Rashid,12,JC Archer,0,MA Wood,0
1939,D,England,JM Vince,33,JM Bairstow,32,JE Root,84,EJG Morgan,76,JC Buttler,34,BA Stokes,21,MM Ali,0,CR Woakes,13,DJ Willey,14,TK Curran,29,AU Rashid,2
1943,D,England,JJ Roy,54,JM Bairstow,0,JE Root,51,EJG Morgan,57,BA Stokes,89,JC Buttler,18,MM Ali,3,CR Woakes,13,LE Plunkett,9,JC Archer,7,AU Rashid,0
1963,D,England,JJ Roy,153,JM Bairstow,51,JE Root,21,JC Buttler,64,EJG Morgan,35,BA Stokes,6,CR Woakes,18,LE Plunkett,27,JC Archer,0,AU Rashid,0,MA Wood,0
1971,D,England,JM Bairstow,45,JE Root,100,CR Woakes,40,BA Stokes,10,JJ Roy,0,EJG Morgan,0,JC Buttler,0,LE Plunkett,0,JC Archer,0,AU Rashid,0,MA Wood,0
1981,D,England,JM Vince,26,JM Bairstow,90,JE Root,88,EJG Morgan,148,JC Buttler,2,BA Stokes,2,MM Ali,31,CR Woakes,1,JC Archer,0,AU Rashid,0,MA Wood,0
2009,D,England,JJ Roy,66,JM Bairstow,111,JE Root,44,EJG Morgan,1,BA Stokes,79,JC Buttler,20,CR Woakes,7,LE Plunkett,1,JC Archer,0,AU Rashid,0,MA Wood,0
2017,D,England,JJ Roy,60,JM Bairstow,106,JE Root,24,JC Buttler,11,EJG Morgan,42,BA Stokes,11,CR Woakes,4,LE Plunkett,15,AU Rashid,16,JC Archer,1,MA Wood,0
2033,D,England,JJ Roy,85,JM Bairstow,34,JE Root,49,EJG Morgan,45,BA Stokes,0,JC Buttler,0,CR Woakes,0,LE Plunkett,0,AU Rashid,0,JC Archer,0,MA Wood,0
2079,D,England,JJ Roy,21,JM Bairstow,43,JE Root,49,EJG Morgan,9,JL Denly,66,T Banton,32,MM Ali,17,TK Curran,5,AU Rashid,2,CJ Jordan,0,S Mahmood,0
2103,DN,England,JJ Roy,24,JM Bairstow,2,JM Vince,25,T Banton,11,SW Billings,67,EJG Morgan,36,MM Ali,0,DJ Willey,0,AU Rashid,0,TK Curran,0,S Mahmood,0
2105,DN,England,JJ Roy,0,JM Bairstow,82,JM Vince,16,T Banton,15,SW Billings,46,EJG Morgan,0,MM Ali,0,DJ Willey,47,AU Rashid,0,RJW Topley,0,S Mahmood,0
2111,DN,England,JJ Roy,21,JM Bairstow,0,JE Root,39,EJG Morgan,42,JC Buttler,3,SW Billings,8,CR Woakes,26,SM Curran,1,TK Curran,37,AU Rashid,35,JC Archer,6
