InnigsID,dn,country,p1,p1-s,p2,p2-s,p3,p3-s,p4,p4-s,p5,p5-s,p6,p6-s,p7,p7-s,p8,p8-s,p9,p9-s,p10,p10-s,p11,p11-s
1062,DN,Zimbabwe,CJ Chibhabha,64,H Masakadza,80,SC Williams,8,Sikandar Raza,5,BRM Taylor,40,SF Mire,27,E Chigumbura,8,TL Chatara,6,CR Ervine,13,TP Kamungozi,0,T Panyangara,4
1078,DN,Zimbabwe,RW Chakabva,2,H Masakadza,5,SC Williams,76,Sikandar Raza,26,BRM Taylor,37,S Matsikenyeri,19,E Chigumbura,21,TL Chatara,16,CR Ervine,52,TP Kamungozi,6,T Panyangara,4
1088,DN,Zimbabwe,CJ Chibhabha,9,H Masakadza,29,SC Williams,33,Sikandar Raza,8,BRM Taylor,50,T Mupariwa,0,E Chigumbura,35,TL Chatara,0,CR Ervine,14,SF Mire,8,T Panyangara,10
1098,DN,Zimbabwe,RW Chakabva,17,H Masakadza,5,SC Williams,96,Sikandar Raza,12,BRM Taylor,121,CJ Chibhabha,18,SF Mire,11,TL Chatara,1,CR Ervine,11,T Mupariwa,18,T Panyangara,5
1112,DN,Zimbabwe,RW Chakabva,10,H Masakadza,2,SC Williams,50,Sikandar Raza,28,BRM Taylor,138,CJ Chibhabha,7,SF Mire,9,TL Chatara,0,CR Ervine,27,T Mupariwa,1,T Panyangara,6
1136,DN,Zimbabwe,V Sibanda,23,H Masakadza,73,SC Williams,36,Sikandar Raza,36,E Chigumbura,117,R Mutumbami,21,P Utseya,21,BV Vitori,0,CR Ervine,0,CB Mpofu,0,T Panyangara,0
1138,DN,Zimbabwe,V Sibanda,13,H Masakadza,18,SC Williams,5,Sikandar Raza,100,CJ Chibhabha,99,R Mutumbami,7,CK Coventry,10,BV Vitori,0,AG Cremer,2,T Mupariwa,0,T Panyangara,4
1156,D,Zimbabwe,V Sibanda,20,H Masakadza,34,SC Williams,0,Sikandar Raza,37,CJ Chibhabha,3,R Mutumbami,7,E Chigumbura,104,BV Vitori,0,AG Cremer,27,DT Tiripano,1,T Panyangara,0
1162,D,Zimbabwe,V Sibanda,2,H Masakadza,5,SC Williams,20,Sikandar Raza,18,CJ Chibhabha,72,R Mutumbami,32,E Chigumbura,9,BV Vitori,8,AG Cremer,27,DT Tiripano,6,N Madziva,0
1166,D,Zimbabwe,RW Chakabva,27,H Masakadza,7,MN Waller,5,Sikandar Raza,13,CJ Chibhabha,82,R Mutumbami,22,E Chigumbura,10,P Utseya,0,AG Cremer,0,DT Tiripano,13,N Madziva,3
1177,D,Zimbabwe,CR Ervine,130,H Masakadza,84,SC Williams,7,Sikandar Raza,0,CJ Chibhabha,42,RW Chakabva,0,E Chigumbura,26,CB Mpofu,0,AG Cremer,0,P Utseya,0,T Panyangara,0
1180,D,Zimbabwe,CR Ervine,12,H Masakadza,0,SC Williams,26,Sikandar Raza,100,CJ Chibhabha,42,RW Chakabva,2,E Chigumbura,5,CB Mpofu,0,AG Cremer,5,P Utseya,0,T Panyangara,33
1182,D,Zimbabwe,CR Ervine,32,H Masakadza,57,SC Williams,63,Sikandar Raza,5,CJ Chibhabha,32,RW Chakabva,3,E Chigumbura,3,J Nyumbu,1,AG Cremer,14,N Madziva,2,T Panyangara,7
1202,D,Zimbabwe,BB Chari,16,H Masakadza,15,SC Williams,26,Sikandar Raza,19,CJ Chibhabha,12,R Mutumbami,3,E Chigumbura,22,J Nyumbu,2,AG Cremer,2,LM Jongwe,0,T Panyangara,4
1203,D,Zimbabwe,BB Chari,39,H Masakadza,7,SC Williams,10,Sikandar Raza,32,CJ Chibhabha,90,R Mutumbami,14,E Chigumbura,67,J Nyumbu,0,AG Cremer,0,LM Jongwe,4,T Panyangara,0
1206,D,Zimbabwe,BB Chari,4,MN Waller,8,SC Williams,5,Sikandar Raza,2,CJ Chibhabha,48,R Mutumbami,67,E Chigumbura,0,J Nyumbu,4,CT Mutombodzi,4,LM Jongwe,16,T Panyangara,0
1207,D,Zimbabwe,CR Ervine,60,MN Waller,1,SC Williams,24,Sikandar Raza,60,CJ Chibhabha,22,R Mutumbami,9,E Chigumbura,16,J Nyumbu,0,WP Masakadza,10,LM Jongwe,5,T Panyangara,8
1211,D,Zimbabwe,CR Ervine,101,CT Mutombodzi,25,SC Williams,43,Sikandar Raza,33,CJ Chibhabha,30,R Mutumbami,14,E Chigumbura,4,J Nyumbu,0,WP Masakadza,0,LM Jongwe,0,T Panyangara,0
1214,D,Zimbabwe,BB Chari,17,CT Mutombodzi,3,SC Williams,51,Sikandar Raza,50,CJ Chibhabha,4,R Mutumbami,0,E Chigumbura,34,J Nyumbu,7,WP Masakadza,0,LM Jongwe,8,T Muzarabani,3
1217,D,Zimbabwe,CR Ervine,20,CT Mutombodzi,18,TS Chisoro,0,Sikandar Raza,0,CJ Chibhabha,58,R Mutumbami,30,E Chigumbura,0,J Nyumbu,0,WP Masakadza,0,LM Jongwe,0,T Panyangara,0
1220,D,Zimbabwe,CR Ervine,43,CT Mutombodzi,27,TS Chisoro,12,Sikandar Raza,3,CJ Chibhabha,8,R Mutumbami,35,E Chigumbura,25,J Nyumbu,1,WP Masakadza,1,LM Jongwe,46,T Panyangara,1
1223,D,Zimbabwe,CR Ervine,11,CT Mutombodzi,0,TS Chisoro,0,Sikandar Raza,29,CJ Chibhabha,18,R Mutumbami,74,E Chigumbura,49,SC Williams,39,WP Masakadza,0,LM Jongwe,0,T Panyangara,0
1226,D,Zimbabwe,CR Ervine,1,CT Mutombodzi,4,TS Chisoro,8,Sikandar Raza,86,CJ Chibhabha,26,R Mutumbami,5,E Chigumbura,15,SC Williams,11,WP Masakadza,0,LM Jongwe,22,T Panyangara,0
1230,D,Zimbabwe,CR Ervine,1,CT Mutombodzi,6,TS Chisoro,10,Sikandar Raza,2,CJ Chibhabha,7,R Mutumbami,2,E Chigumbura,14,SC Williams,102,WP Masakadza,3,LM Jongwe,16,T Panyangara,0
1238,DN,Zimbabwe,CR Ervine,2,T Muzarabani,0,MN Waller,1,Sikandar Raza,3,CJ Chibhabha,9,R Mutumbami,0,E Chigumbura,41,SC Williams,8,AG Cremer,15,LM Jongwe,39,T Panyangara,5
1242,DN,Zimbabwe,CR Ervine,26,T Muzarabani,1,MN Waller,8,Sikandar Raza,33,CJ Chibhabha,14,RW Chakabva,1,E Chigumbura,47,SC Williams,14,AG Cremer,1,LM Jongwe,11,T Panyangara,4
1244,DN,Zimbabwe,CR Ervine,21,T Muzarabani,0,MN Waller,32,Sikandar Raza,9,CJ Chibhabha,4,RW Chakabva,17,E Chigumbura,45,SC Williams,64,AG Cremer,5,LM Jongwe,11,T Panyangara,3
1254,DN,Zimbabwe,CR Ervine,6,T Muzarabani,2,MN Waller,0,Sikandar Raza,6,CJ Chibhabha,0,PJ Moor,21,E Chigumbura,28,WP Masakadza,0,AG Cremer,12,LM Jongwe,4,R Mutumbami,0
1260,DN,Zimbabwe,CR Ervine,73,T Muzarabani,0,MN Waller,0,Sikandar Raza,13,H Masakadza,47,PJ Moor,50,E Chigumbura,13,WP Masakadza,0,AG Cremer,12,LM Jongwe,13,R Mutumbami,21
1263,DN,Zimbabwe,CJ Chibhabha,0,N Madziva,0,MN Waller,8,Sikandar Raza,1,H Masakadza,83,PJ Moor,0,E Chigumbura,1,TS Chisoro,6,AG Cremer,58,LM Jongwe,0,R Mutumbami,14
1265,DN,Zimbabwe,CJ Chibhabha,53,N Madziva,6,MN Waller,15,Sikandar Raza,9,H Masakadza,26,PJ Moor,52,E Chigumbura,13,TS Chisoro,0,AG Cremer,11,LM Jongwe,12,R Mutumbami,14
1270,DN,Zimbabwe,CJ Chibhabha,1,N Madziva,2,MN Waller,0,Sikandar Raza,29,H Masakadza,110,PJ Moor,42,E Chigumbura,3,TS Chisoro,1,AG Cremer,12,LM Jongwe,2,R Mutumbami,40
1308,D,Zimbabwe,CR Ervine,21,T Muzarabani,1,CJ Chibhabha,13,Sikandar Raza,23,H Masakadza,14,PJ Moor,3,E Chigumbura,41,V Sibanda,5,AG Cremer,8,TL Chatara,4,R Mutumbami,15
1312,D,Zimbabwe,SC Williams,0,T Muzarabani,5,CJ Chibhabha,21,Sikandar Raza,16,H Masakadza,9,PJ Moor,1,E Chigumbura,0,V Sibanda,53,AG Cremer,7,TL Chatara,2,R Mutumbami,2
1316,D,Zimbabwe,T Maruma,17,DT Tiripano,2,CJ Chibhabha,27,T Mupariwa,1,H Masakadza,8,N Madziva,10,E Chigumbura,0,V Sibanda,38,AG Cremer,0,MN Waller,8,R Mutumbami,4
1408,D,Zimbabwe,BB Chari,7,DT Tiripano,19,CJ Chibhabha,18,CR Ervine,0,Sikandar Raza,1,SC Williams,9,E Chigumbura,1,PJ Moor,47,AG Cremer,31,CT Mumba,1,T Panyangara,12
1413,D,Zimbabwe,BB Chari,19,CJ Chibhabha,9,H Masakadza,20,CR Ervine,7,Sikandar Raza,76,SC Williams,0,PJ Moor,13,AG Cremer,1,DT Tiripano,15,TS Chisoro,42,CB Mpofu,0
1416,D,Zimbabwe,H Masakadza,10,PJ Moor,1,TK Musakanda,36,CR Ervine,25,Sikandar Raza,5,SC Williams,35,MN Waller,14,AG Cremer,9,DT Tiripano,10,TS Chisoro,5,BV Vitori,0
1460,D,Zimbabwe,PJ Moor,18,SF Mire,2,CR Ervine,38,Sikandar Raza,12,RP Burl,28,TK Musakanda,0,MN Waller,0,AG Cremer,0,TL Chatara,0,CB Mpofu,0,R Ngarava,0
1464,D,Zimbabwe,SF Mire,54,PJ Moor,17,CR Ervine,34,H Masakadza,5,RP Burl,27,TK Musakanda,7,MN Waller,4,AG Cremer,14,TL Chatara,4,CB Mpofu,0,R Ngarava,10
1465,D,Zimbabwe,PJ Moor,10,SF Mire,4,TK Musakanda,60,CR Ervine,0,SC Williams,5,RP Burl,3,MN Waller,36,AG Cremer,0,TL Chatara,0,R Ngarava,0,CB Mpofu,1
1469,D,Zimbabwe,SF Mire,46,PJ Moor,36,TK Musakanda,4,CR Ervine,1,SC Williams,16,RP Burl,0,MN Waller,0,AG Cremer,0,TL Chatara,0,CB Mpofu,0,R Ngarava,0
1474,D,Zimbabwe,PJ Moor,3,SF Mire,2,TK Musakanda,7,CR Ervine,4,SC Williams,0,RP Burl,11,MN Waller,6,AG Cremer,14,TL Chatara,0,CB Mpofu,3,R Ngarava,0
1557,D,Zimbabwe,H Masakadza,5,SF Mire,112,CR Ervine,18,SC Williams,65,Sikandar Raza,67,MN Waller,40,PJ Moor,0,RP Burl,0,AG Cremer,0,DT Tiripano,0,TL Chatara,0
1562,D,Zimbabwe,H Masakadza,41,SF Mire,0,CR Ervine,22,SC Williams,13,Sikandar Raza,8,RP Burl,9,MN Waller,38,PJ Moor,11,AG Cremer,1,DT Tiripano,0,TL Chatara,0
1566,D,Zimbabwe,H Masakadza,111,SF Mire,13,TK Musakanda,48,CR Ervine,16,SC Williams,43,MN Waller,17,Sikandar Raza,25,PJ Moor,24,AG Cremer,0,CT Mumba,2,TL Chatara,0
1569,D,Zimbabwe,H Masakadza,28,SF Mire,43,TK Musakanda,30,CR Ervine,69,SC Williams,6,Sikandar Raza,10,MN Waller,20,PJ Moor,0,AG Cremer,0,CB Mpofu,0,TL Chatara,0
1571,D,Zimbabwe,H Masakadza,73,SF Mire,43,TK Musakanda,37,CR Ervine,2,SC Williams,2,Sikandar Raza,27,MN Waller,1,PJ Moor,1,AG Cremer,11,CB Mpofu,0,TL Chatara,0
1650,DN,Zimbabwe,H Masakadza,15,SF Mire,0,CR Ervine,0,BRM Taylor,24,Sikandar Raza,52,MN Waller,13,PJ Moor,33,AG Cremer,12,KM Jarvis,4,TL Chatara,0,B Muzarabani,1
1653,DN,Zimbabwe,H Masakadza,73,SF Mire,34,CR Ervine,2,BRM Taylor,38,Sikandar Raza,81,MN Waller,29,PJ Moor,19,AG Cremer,0,KM Jarvis,0,TL Chatara,0,B Muzarabani,0
1664,DN,Zimbabwe,H Masakadza,20,SF Mire,21,CR Ervine,2,BRM Taylor,58,Sikandar Raza,9,MN Waller,24,PJ Moor,0,AG Cremer,34,KM Jarvis,5,TL Chatara,2,B Muzarabani,0
1666,DN,Zimbabwe,H Masakadza,5,SF Mire,7,CR Ervine,11,BRM Taylor,0,Sikandar Raza,39,PJ Moor,14,MN Waller,0,AG Cremer,23,KM Jarvis,10,TL Chatara,8,B Muzarabani,0
1682,DN,Zimbabwe,H Masakadza,16,SF Mire,34,BRM Taylor,16,CR Ervine,33,Sikandar Raza,25,RP Burl,2,MN Waller,0,AG Cremer,1,KM Jarvis,20,TL Chatara,2,BV Vitori,8
1685,DN,Zimbabwe,SF Mire,9,H Masakadza,48,BRM Taylor,125,CR Ervine,14,Sikandar Raza,92,MN Waller,17,RP Burl,11,AG Cremer,0,B Muzarabani,0,BV Vitori,0,TL Chatara,0
1688,DN,Zimbabwe,H Masakadza,9,SF Mire,22,BRM Taylor,9,CR Ervine,39,Sikandar Raza,38,RP Burl,0,MN Waller,1,AG Cremer,2,TL Chatara,11,BV Vitori,15,B Muzarabani,0
1692,DN,Zimbabwe,SF Mire,9,H Masakadza,4,TK Musakanda,9,BRM Taylor,30,CR Ervine,54,Sikandar Raza,4,RP Burl,10,AG Cremer,2,KM Jarvis,0,TL Chatara,4,B Muzarabani,0
1696,DN,Zimbabwe,H Masakadza,7,TK Musakanda,11,BRM Taylor,27,CR Ervine,34,Sikandar Raza,1,MN Waller,0,SF Mire,0,AG Cremer,8,TS Chisoro,0,TL Chatara,0,B Muzarabani,0
1703,D,Zimbabwe,SF Mire,4,C Zhuwao,0,H Masakadza,3,BRM Taylor,89,CR Ervine,13,Sikandar Raza,60,AG Cremer,19,MN Waller,3,TL Chatara,0,BV Vitori,0,B Muzarabani,0
1713,D,Zimbabwe,C Zhuwao,20,SF Mire,11,H Masakadza,18,BRM Taylor,25,SC Williams,9,CR Ervine,20,Sikandar Raza,69,AG Cremer,4,TS Chisoro,21,KM Jarvis,1,B Muzarabani,1
1716,D,Zimbabwe,SF Mire,45,C Zhuwao,0,H Masakadza,7,BRM Taylor,138,CR Ervine,14,SC Williams,34,Sikandar Raza,22,AG Cremer,0,TS Chisoro,18,KM Jarvis,1,B Muzarabani,0
1734,D,Zimbabwe,BB Chari,2,CJ Chibhabha,20,H Masakadza,7,TK Musakanda,21,PJ Moor,2,R Murray,32,DT Tiripano,12,LN Roche,4,WP Masakadza,0,TL Chatara,5,B Muzarabani,0
1738,D,Zimbabwe,BB Chari,1,CJ Chibhabha,7,H Masakadza,59,TK Musakanda,24,PJ Moor,50,R Murray,16,DT Tiripano,13,LN Roche,0,WP Masakadza,12,TL Chatara,1,B Muzarabani,1
1742,D,Zimbabwe,PS Masvaure,1,CJ Chibhabha,16,H Masakadza,10,TK Musakanda,0,PJ Moor,1,R Murray,8,E Chigumbura,9,TS Chisoro,0,WP Masakadza,10,B Muzarabani,4,R Ngarava,1
1744,D,Zimbabwe,H Masakadza,22,TS Kamunhukamwe,3,TK Musakanda,10,R Murray,5,PJ Moor,20,E Chigumbura,37,DT Tiripano,44,WP Masakadza,2,TS Chisoro,1,B Muzarabani,1,R Ngarava,1
1746,D,Zimbabwe,H Masakadza,34,TS Kamunhukamwe,34,PS Masvaure,39,R Murray,47,PJ Moor,44,E Chigumbura,25,DT Tiripano,0,LN Roche,0,WP Masakadza,0,CB Mpofu,0,TL Chatara,0
1790,D,Zimbabwe,H Masakadza,25,SF Mire,0,CR Ervine,7,BRM Taylor,9,SC Williams,4,PJ Moor,13,E Chigumbura,27,WP Masakadza,15,B Mavuta,5,KM Jarvis,8,TL Chatara,0
1792,DN,Zimbabwe,SF Mire,2,H Masakadza,27,CR Ervine,3,BRM Taylor,10,SC Williams,9,PJ Moor,5,E Chigumbura,0,DT Tiripano,12,B Mavuta,0,KM Jarvis,1,TL Chatara,3
1794,DN,Zimbabwe,H Masakadza,28,SF Mire,7,CR Ervine,0,BRM Taylor,40,SC Williams,69,PJ Moor,10,E Chigumbura,9,DT Tiripano,29,B Mavuta,18,KM Jarvis,8,TL Chatara,0
1804,DN,Zimbabwe,H Masakadza,21,C Zhuwao,35,BRM Taylor,5,CR Ervine,24,Sikandar Raza,7,SC Williams,50,PJ Moor,26,DT Tiripano,2,B Mavuta,20,KM Jarvis,37,TL Chatara,2
1808,DN,Zimbabwe,H Masakadza,14,C Zhuwao,20,BRM Taylor,75,SC Williams,47,Sikandar Raza,49,PJ Moor,17,E Chigumbura,3,B Mavuta,9,DT Tiripano,3,KM Jarvis,0,TL Chatara,0
1810,DN,Zimbabwe,H Masakadza,2,C Zhuwao,0,BRM Taylor,75,SC Williams,129,Sikandar Raza,40,PJ Moor,28,E Chigumbura,1,KM Jarvis,0,DT Tiripano,0,R Ngarava,0,WP Masakadza,0
2014,D,Zimbabwe,H Masakadza,15,TS Kamunhukamwe,0,CR Ervine,105,BRM Taylor,12,SC Williams,28,Sikandar Raza,8,PJ Moor,17,RP Burl,49,DT Tiripano,2,KM Jarvis,4,TL Chatara,4
2022,D,Zimbabwe,H Masakadza,4,SF Mire,4,CR Ervine,43,BRM Taylor,0,SC Williams,58,Sikandar Raza,31,RP Burl,53,R Mutumbami,2,DT Tiripano,33,KM Jarvis,0,TL Chatara,1
2030,D,Zimbabwe,H Masakadza,23,RP Burl,1,CR Ervine,8,BRM Taylor,3,SC Williams,67,Sikandar Raza,6,SF Mire,14,R Mutumbami,28,KM Jarvis,28,CB Mpofu,2,TL Chatara,1
2090,DN,Zimbabwe,Liton Das,126,Tamim Iqbal,24,Najmul Hossain Shanto,29,Mushfiqur Rahim,19,Mahmudullah,32,Mohammad Mithun,50,Mohammad Saifuddin,28,ehidy Hasan Miraz,7,Mashrafe Mortaza,0,Taijul Islam,0,Mustafizur Rahman,0
2094,DN,Zimbabwe,TS Kamunhukamwe,51,RW Chakabva,2,BRM Taylor,11,SC Williams,14,W Madhevere,52,Sikandar Raza,66,R Mutumbami,19,CT Mutombodzi,34,DT Tiripano,55,CT Mumba,0,CK Tshuma,0
2098,DN,Zimbabwe,TS Kamunhukamwe,4,RW Chakabva,34,BRM Taylor,14,SC Williams,30,W Madhevere,42,Sikandar Raza,61,R Mutumbami,0,CT Mutombodzi,7,DT Tiripano,15,CT Mumba,4,CK Tshuma,0
